Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
tb110_max_flag,Qualitätsflag für Erdbodentemperatur -110cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 110 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb110_min,Erdbodentemperatur -110cm Minimalwert,"Erdbodentemperatur in 110 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb110_min_flag,Qualitätsflag für Erdbodentemperatur -110cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 110 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb110_mittel,Erdbodentemperatur -110cm Mittelwert,"Erdbodentemperatur in 110 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb110_mittel_flag,Qualitätsflag für Erdbodentemperatur -110cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 110 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb15_max,Erdbodentemperatur -15cm Maximalwert,"Erdbodentemperatur in 15 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb15_max_flag,Qualitätsflag für Erdbodentemperatur -15cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 15 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb15_min,Erdbodentemperatur -15cm Minimalwert,"Erdbodentemperatur in 15 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb15_min_flag,Qualitätsflag für Erdbodentemperatur -15cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 15 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb15_mittel,Erdbodentemperatur -15cm Mittelwert,"Erdbodentemperatur in 15 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb15_mittel_flag,Qualitätsflag für Erdbodentemperatur -15cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 15 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb200_max,Erdbodentemperatur -200cm Maximalwert,"Erdbodentemperatur in 200 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb200_max_flag,Qualitätsflag für Erdbodentemperatur -200cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 200 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb200_min,Erdbodentemperatur -200cm Minimalwert,"Erdbodentemperatur in 200 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb200_min_flag,Qualitätsflag für Erdbodentemperatur -200cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 200 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb200_mittel,Erdbodentemperatur -200cm Mittelwert,"Erdbodentemperatur in 200 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb200_mittel_flag,Qualitätsflag für Erdbodentemperatur -200cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 200 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb20_max,Erdbodentemperatur -20cm Maximalwert,"Erdbodentemperatur in 20 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb20_max_flag,Qualitätsflag für Erdbodentemperatur -20cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb20_min,Erdbodentemperatur -20cm Minimalwert,"Erdbodentemperatur in 20 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb20_min_flag,Qualitätsflag für Erdbodentemperatur -20cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb20_mittel,Erdbodentemperatur -20cm Mittelwert,"Erdbodentemperatur in 20 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb20_mittel_flag,Qualitätsflag für Erdbodentemperatur -20cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 20 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb2_max,Erdbodentemperatur -2cm Maximalwert,"Erdbodentemperatur in 2 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb2_max_flag,Qualitätsflag für Erdbodentemperatur -2cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 2 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb2_min,Erdbodentemperatur -2cm Minimalwert,"Erdbodentemperatur in 2 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb2_min_flag,Qualitätsflag für Erdbodentemperatur -2cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 2 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb2_mittel,Erdbodentemperatur -2cm Mittelwert,"Erdbodentemperatur in 2 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb2_mittel_flag,Qualitätsflag für Erdbodentemperatur -2cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 2 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb30_max,Erdbodentemperatur -30cm Maximalwert,"Erdbodentemperatur in 30 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb30_max_flag,Qualitätsflag für Erdbodentemperatur -30cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 30 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb30_min,Erdbodentemperatur -30cm Minimalwert,"Erdbodentemperatur in 30 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb30_min_flag,Qualitätsflag für Erdbodentemperatur -30cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 30 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb30_mittel,Erdbodentemperatur -30cm Mittelwert,"Erdbodentemperatur in 30 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb30_mittel_flag,Qualitätsflag für Erdbodentemperatur -30cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 30 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb40_max,Erdbodentemperatur -40cm Maximalwert,"Erdbodentemperatur in 40 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb40_max_flag,Qualitätsflag für Erdbodentemperatur -40cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 40 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb40_min,Erdbodentemperatur -40cm Minimalwert,"Erdbodentemperatur in 40 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb40_min_flag,Qualitätsflag für Erdbodentemperatur -40cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 40 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb40_mittel,Erdbodentemperatur -40cm Mittelwert,"Erdbodentemperatur in 40 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb40_mittel_flag,Qualitätsflag für Erdbodentemperatur -40cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 40 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb50_max,Erdbodentemperatur -50cm Maximalwert,"Erdbodentemperatur in 50 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb50_max_flag,Qualitätsflag für Erdbodentemperatur -50cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb50_min,Erdbodentemperatur -50cm Minimalwert,"Erdbodentemperatur in 50 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb50_min_flag,Qualitätsflag für Erdbodentemperatur -50cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb50_mittel,Erdbodentemperatur -50cm Mittelwert,"Erdbodentemperatur in 50 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb50_mittel_flag,Qualitätsflag für Erdbodentemperatur -50cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 50 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb5_max,Erdbodentemperatur -5cm Maximalwert,"Erdbodentemperatur in 5 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb5_max_flag,Qualitätsflag für Erdbodentemperatur -5cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 5 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb5_min,Erdbodentemperatur -5cm Minimalwert,"Erdbodentemperatur in 5 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb5_min_flag,Qualitätsflag für Erdbodentemperatur -5cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 5 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb5_mittel,Erdbodentemperatur -5cm Mittelwert,"Erdbodentemperatur in 5 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb5_mittel_flag,Qualitätsflag für Erdbodentemperatur -5cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 5 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tb70_max,Erdbodentemperatur -70cm Maximalwert,"Erdbodentemperatur in 70 cm Tiefe, Monats-Maximum aller Stundenwerte",°C
tb70_max_flag,Qualitätsflag für Erdbodentemperatur -70cm Maximalwert,"Qualitätsflag für Erdbodentemperatur in 70 cm Tiefe, Monats-Maximum aller Stundenwerte",code
tb70_min,Erdbodentemperatur -70cm Minimalwert,"Erdbodentemperatur in 70 cm Tiefe, Monats-Minimum aller Stundenwerte",°C
tb70_min_flag,Qualitätsflag für Erdbodentemperatur -70cm Minimalwert,"Qualitätsflag für Erdbodentemperatur in 70 cm Tiefe, Monats-Minimum aller Stundenwerte",code
tb70_mittel,Erdbodentemperatur -70cm Mittelwert,"Erdbodentemperatur in 70 cm Tiefe, Monats-Mittelwert aller Stundenwerte",°C
tb70_mittel_flag,Qualitätsflag für Erdbodentemperatur -70cm Mittelwert,"Qualitätsflag für Erdbodentemperatur in 70 cm Tiefe, Monats-Mittelwert aller Stundenwerte",code
tl_iii_mittel,Lufttemperatur 2m Mittelwert Termin III,"Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert III (18:00 UTC)",°C
tl_iii_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert Termin III,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert III (18:00 UTC)",code
tl_ii_mittel,Lufttemperatur 2m Mittelwert Termin II,"Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert II (13:00 UTC)",°C
tl_ii_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert Termin II,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert II (13:00 UTC)",code
tl_i_mittel,Lufttemperatur 2m Mittelwert Termin I,"Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert I (06:00 UTC)",°C
tl_i_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert Termin I,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Mittelwert zum Terminwert I (06:00 UTC)",code
tlmax,Lufttemperatur 2m Maximalwert,"Lufttemperatur in 2m Höhe, Monats-Maximum aus 24-Stunden-Maximalwerten",°C
tlmax_flag,Qualitätsflag für Lufttemperatur 2m Maximalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Monats-Maximum aus 24-Stunden-Maximalwerten",code
